id,doc_type,text_chunk
doc_64,Judgement,"forward to the Magistrate, a report in the form prescribed by the local government, sending forth the names of the parties, nature of the information and the names of the people who appear to be acquainted with the circumstances of the case and state whether the accused person has been forwarded in custody or released on a bond. 9. We have referred to Section 173 of the 1898 Code, in view of reliance placed during the course of hearing on the decision of this Court in Tara Singh v. State6 and R."
doc_64,Judgement,"K. --- Dalmia etc. v. Delhi Administration7, which refer and relate to the 1898 Code. 10. In Tara Singh’s case (supra), the question which had arisen was whether the challan preferred by the police was complete so as to enable the court to take cognisance within the meaning of Section 190(1)(b) of the 1898 Code. It was held that a challan submitted in the said case was complete except for 5 “1898 Code”, for short. 6 AIR 1951 SC 441. 7 AIR 1962 SC 1821. Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 &"
doc_64,Judgement," Ors. Page 7 of 38submission of the report of the Imperial Serologist and drawing of the sketch map of the occurrence. In this context, reference was made to Section 173(1) of the 1898 Code and that the report/challan should set forth, viz. the names of the parties, nature of the information and names of persons who appear to be acquainted with the circumstances of the case. The cognisance, it was held, was proper. 11. --- In R.K. Dalmia (supra), again a reference was made to Section 173(1) of t"
doc_64,Judgement,"he 1898 Code and that the chargesheet must contain name of the parties, nature of the information and the names of persons who appear to be acquainted with the circumstances of the case. These observations were made in the context of the submission made on behalf of the accused that there was a change in the stand of the prosecution, which contention was rejected on several grounds, as mentioned in paragraphs 325 and 326 of the footnoted citation. 12. It is, therefore, apparent from the language"
doc_64,Judgement," of the legislation, that under the Code, that is, the Code of Criminal Procedure, 1973, the requirement and the manner of providing details in the chargesheet, stand verified. 13. The question of the required details being complete must be understood in a way which gives effect to the true intent of the chargesheet under Section 173(2) of the Code. The requirement of “further evidence” or a “supplementary chargesheet” as referred to under Section 173(8) of the Code, is to make additions to a co"
doc_64,Judgement,"mplete chargesheet,8 and not to make up or reparate for a chargesheet which does not fulfil requirements of Section 173(2) of the Code. The chargesheet is complete when it refers to material and evidence sufficient 8 State Through Central Bureau of Investigation v. Hemendhra Reddy & Anr., 2023 SCC OnLine SC 515. --- Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 8 of 38to take cognizance and for the trial. The nature and standard of evidence to be elucidated in a chargesheet should prima "
doc_64,Judgement,"facie show that an offence is established if the material and evidence is proven. The chargesheet is complete where a case is not exclusively dependent on further evidence. The trial can proceed on the basis of evidence and material placed on record with the chargesheet. This standard is not overly technical or fool-proof, but a pragmatic balance to protect the innocent from harassment due to delay as well as prolonged incarceration, and yet not curtail the right of the prosecution to forward fu"
doc_64,Judgement,"rther evidence in support of the charges9. 14. In the context of the present issue, it would be apt to refer to Section 190 and Section 204 of the Code, along with the provisions relating to contents of charge, namely, Sections 211 to 213 and Section 218 of the Code, which read as under: “190. Cognizance of offences by Magistrates.—(1) Subject to the provisions of this Chapter, any Magistrate of the first class, and any Magistrate of the second class specially empowered in this behalf under sub-"
doc_64,Judgement,"section (2), may take cognizance of any offence— (a) upon receiving a complaint of facts which constitute such offence; (b) upon a police report of such facts; (c) upon information received from any person other than a police officer, or upon his own knowledge, that such offence has been committed. (2) The Chief Judicial Magistrate may empower any Magistrate of the second class to take cognizance under sub-section (1) of such offences as are within his competence to inquire into or try. xx xx xx"
doc_64,Judgement," 204. Issue of process.—(1) If in the opinion of a Magistrate taking cognizance of an offence there is sufficient ground for proceeding, and the case appears to be— 9 See also, para 21 below on the power of the police to investigate under Section 173(8) of the Code. Crl. --- Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 9 of 38(a) a summons-case, he shall issue his summons for the attendance of the accused, or (b) a warrant-case, he may issue a warrant, or, if he thinks fit, a summons, for ca"
doc_64,Judgement,"using the accused to be brought or to appear at a certain time before such Magistrate or (if he has no jurisdiction himself) some other Magistrate having jurisdiction. (2) No summons or warrant shall be issued against the accused under sub-section (1) until a list of the prosecution witnesses has been filed. (3) In a proceeding instituted upon a complaint made in writing, every summons or warrant issued under sub-section (1) shall be accompanied by a copy of such complaint. (4) When by any law f"
doc_64,Judgement,"or the time being in force any process- fees or other fees are payable, no process shall be issued until the fees are paid and, if such fees are not paid within a reasonable time, the Magistrate may dismiss the complaint. (5) Nothing in this section shall be deemed to affect the provisions of Section 87. xx xx xx 211. Contents of charge.—(1) Every charge under this Code shall state the offence with which the accused is charged. (2) If the law which creates the offence gives it any specific name,"
doc_64,Judgement," the offence may be described in the charge by that name only. (3) If the law which creates the offence does not give it any specific name, so much of the definition of the offence must be stated as to give the accused notice of the matter with which he is charged. (4) The law and section of the law against which the offence is said to have been committed shall be mentioned in the charge. (5) The fact that the charge is made is equivalent to a statement that every legal condition required by law"
doc_64,Judgement," to constitute the offence charged was fulfilled in the particular case. (6) The charge shall be written in the language of the Court. Crl. --- Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 10 of 38(7) If the accused, having been previously convicted of any offence, is liable, by reason of such previous conviction, to enhanced punishment, or to punishment of a different kind, for a subsequent offence, and it is intended to prove such previous conviction for the purpose of affecting the punish"
doc_64,Judgement,"ment which the Court may think fit to award for the subsequent offence, the fact, date and place of the previous conviction shall be stated in the charge; and if such statement has been omitted, the Court may add it at any time before sentence is passed. 212. Particulars as to time, place and person.—(1) The charge shall contain such particulars as to the time and place of the alleged offence, and the person (if any) against whom, or the thing (if any) in respect of which, it was committed, as a"
doc_64,Judgement,"re reasonably sufficient to give the accused notice of the matter with which he is charged. (2) When the accused is charged with criminal breach of trust or dishonest misappropriation of money or other movable property, it shall be sufficient to specify the gross sum or, as the case may be, describe the movable property in respect of which the offence is alleged to have been committed, and the dates between which the offence is alleged to have been committed, without specifying particular items "
doc_64,Judgement,"or exact dates, and the charge so framed shall be deemed to be a charge of one offence within the meaning of Section 219: Provided that the time included between the first and last of such dates shall not exceed one year. 213. When manner of committing offence must be stated.—When the nature of the case is such that the particulars mentioned in Sections 211 and 212 do not give the accused sufficient notice of the matter with which he is charged, the charge shall also contain such particulars of "
doc_64,Judgement,"the manner in which the alleged offence was committed as will be sufficient for that purpose. xx xx xx 218. Separate charges for distinct offences.—(1) For every distinct offence of which any person is accused there shall be a separate charge, and every such charge shall be tried separately: Provided that where the accused person, by an application in writing, so desires and the Magistrate is of opinion that such person is not likely to be prejudiced thereby, the Magistrate may try together all "
doc_64,Judgement,"or any number of the charges framed against such person. Crl. --- Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 11 of 38(2) Nothing in sub-section (1) shall affect the operation of the provisions of Sections 219, 220, 221 and 223. 15. On the submission of the police report, Dablu Kujur (supra) refers to an earlier decision of this Court in Bhagwant Singh v. Commissioner of Police and Another10, and discusses the power and the role of the Magistrate when he receives the police report and the o"
doc_64,Judgement,"ptions available to him, in the following words: “14. When such a Police Report concludes that an offence appears to have been committed by a particular person or persons, the Magistrate has three options: (i) he may accept the report and take cognizance of the offence and issue process, (ii) he may direct further investigation under sub- section (3) of Section 156 and require the police to make a further report, or (iii) he may disagree with the report and discharge the accused or drop the proc"
doc_64,Judgement,"eedings. If such Police Report concludes that no offence appears to have been committed, the Magistrate again has three options: (i) he may accept the report and drop the proceedings, or (ii) he may disagree with the report and taking the view that there is sufficient ground for proceeding further, take cognizance of the offence and issue process, or (iii) he may direct further investigation to be made by the police under sub-section (3) of Section 156.” It is in this context that the provisions"
doc_64,Judgement," of Sections 190 and 204 of the Code become important. Clause (a) of Section 190 states that the Magistrate can take cognisance of an offence on receiving a complaint of facts which constitute such offence. Clause (b) relates to a situation where the Magistrate receives a police report carrying such facts, i.e., facts which constitute such offence. In Minu Kumari and Another v. State of Bihar and Others11 this Court referred to the options available to the Magistrate on how to proceed in terms o"
doc_64,Judgement,"f Section 190(1)(b) of the Code, and held: “11...The position is, therefore, now well settled that upon receipt of a police report under Section 173(2) a Magistrate is entitled to take cognizance of an offence under Section 10 (1985) 2 SCC 537. 11 (2006) 4 SCC 359. --- Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 12 of 38190(1)(b) of the Code even if the police report is to the effect that no case is made out against the accused. The Magistrate can take into account the statements of th"
doc_64,Judgement,e witnesses examined by the police during the investigation and take cognizance of the offence complained of and order the issue of process to the accused. Section 190(1)(b) does not lay down that a Magistrate can take cognizance of an offence only if the investigating officer gives an opinion that the investigation has made out a case against the accused. The Magistrate can ignore the conclusion arrived at by the investigating officer and independently apply his mind to the facts emerging from 
doc_64,Judgement,"the investigation and take cognizance of the case, if he thinks fit, exercise his powers under Section 190(1)(b) and direct the issue of process to the accused. The Magistrate is not bound in such a situation to follow the procedure laid down in Sections 200 and 202 of the Code for taking cognizance of a case under Section 190(1)(a) though it is open to him to act under Section 200 or Section 202 also. (See India Carat (P) Ltd. --- v. State of Karnataka [(1989) 2 SCC 132 : 1989 SCC (Cri) 306 : A"
doc_64,Judgement,"IR 1989 SC 885] .) 12. The informant is not prejudicially affected when the Magistrate decides to take cognizance and to proceed with the case. But where the Magistrate decides that sufficient ground does not subsist for proceeding further and drops the proceeding or takes the view that there is material for proceeding against some and there are insufficient grounds in respect of others, the informant would certainly be prejudiced as the first information report lodged becomes wholly or partiall"
doc_64,Judgement,"y ineffective. This Court in Bhagwant Singh v. Commr. of Police held that where the Magistrate decides not to take cognizance and to drop the proceeding or takes a view that there is no sufficient ground for proceeding against some of the persons mentioned in the first information report, notice to the informant and grant of opportunity of being heard in the matter becomes mandatory. As indicated above, there is no provision in the Code for issue of a notice in that regard. 13. We may add here t"
doc_64,Judgement,"hat the expressions “charge-sheet” or “final report” are not used in the Code, but it is understood in Police Manuals of several States containing the rules and the regulations to be a report by the police filed under Section 170 of the Code, described as a “charge-sheet”. In case of reports sent under Section 169 i.e. where there is no sufficiency of evidence to justify forwarding of a case to a Magistrate, it is termed variously i.e. referred charge, final report or summary. Section 173 in ter"
doc_64,Judgement,"ms does not refer to any notice to be given to raise any protest to the report submitted by the police. Though the notice issued under some of the Police Manuals states it to be a notice under Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 13 of 38Section 173 of the Code, there is nothing in Section 173 specifically providing for such a notice.” 16. This Court in Bhushan Kumar and Another v. State (NCT of Delhi) and Another12 while referring to Sections 190 and 204 of the Code has observe"
doc_64,Judgement,"d that the expression “cognisance” in Section 190 merely means “becoming aware of”, and when used with reference to a court or a judge it connotes “to take notice of judicially”. It indicates the juncture at which the court or Magistrate takes judicial notice of the offence with a view to initiate proceedings in respect of such an offence. This is different from initiation of proceedings. Rather, it is a condition precedent to the initiation of proceedings by a Magistrate or judge. At this stage"
doc_64,Judgement,", the Magistrate has to keep in mind the averments in the complaint or the police report, and has to evaluate whether there is sufficient ground for initiation of proceedings. This is not the same as the consideration of sufficient grounds for conviction, as whether evidence is sufficient for supporting the conviction or not, can be determined only at the stage of trial, and not at the stage of cognisance. This aspect is important and will be subsequently referred to when we examine the decision"
doc_64,Judgement," of this Court in K. Veeraswami v. Union of India and Others13, and the observations therein which have been referred to on several occasions in other judgments. 17. Section 204 of the Code does not mandate the Magistrate to explicitly state the reasons for issue of summons and this is not a prerequisite for deciding the validity of the summons. Nevertheless, the requirement of the Code is that the summons is issued when it appears to the Magistrate that there is sufficient ground for proceeding"
doc_64,Judgement," against the accused. Summons is issued to the person against whom the legal proceedings have commenced. Wilful disobedience is 12 (2012) 5 SCC 424. 13 (1991) 3 SCC 655. Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 14 of 38liable to be punished under Section 174 of the Indian Penal Code, 186014. As a sequitur, keeping in mind both the language of Section 204 of the Code and the penal consequences, the Magistrate is mandated to form an opinion as to whether there exists sufficient ground"
doc_64,Judgement," for summons to be issued. While deciding whether summons is to be issued to a person, the Magistrate can take into consideration any prima facie improbabilities arising in the case. The parameters on which a summoning order can be interfered with are well settled by the decision of this court in Bhushan Kumar (supra). The Magistrate in terms of Section 204 of the Code is required to exercise his judicial discretion with a degree of caution, even when he is not required to record reasons, on whe"
doc_64,Judgement,"ther there is sufficient ground for proceeding. Proceedings initiated by a criminal court are generally not interfered with by High Courts, unless necessary to secure the ends of justice.15 18. The decision in Bhushan Kumar (supra) also refers to Section 251 of the Code, which is a stage post appearance of the accused, and observes: “20. It is inherent in Section 251 of the Code that when an accused appears before the trial court pursuant to summons issued under Section 204 of the Code in a summ"
doc_64,Judgement,"ons trial case, it is the bounden duty of the trial court to carefully go through the allegations made in the charge-sheet or complaint and consider the evidence to come to a conclusion whether or not, commission of any offence is disclosed and if the answer is in the affirmative, the Magistrate shall explain the substance of the accusation to the accused and ask him whether he pleads guilty otherwise, he is bound to discharge the accused as per Section 239 of the Code.” 19. Sections 211 to 213 "
doc_64,Judgement,"and Section 218 of the Code deal with the contents of the charge. The object and purpose of these provisions is to bring the nature of 14 “IPC”, for short. 15 R.P. --- Kapur v. State of Punjab, AIR 1960 SC 866; State of Haryana and Others v. Bhajan Lal and Others, 1992 Supp (1) SCC 335. Crl. Appeal @ SLP (Crl.) No. 1074 of 2017 & Ors. Page 15 of 38allegations against the accused to his notice. These allegations have to be proved and established by leading evidence. The accused should not be take"
doc_64,Judgement,"n by surprise or be unbeknownst so as to cause prejudice to him. The provisions of the Code also prescribe how to interpret the words used in the charge in terms of Section 214 of the Code, the effect of defects in the charge in terms of Section 215 of the Code, the power of the court to alter the charge and recall of the witnesses when a charge is altered in terms of Sections 216 and 217 of the Code. 20. There is an inherent connect between the chargesheet submitted under Section 173(2) of the "
doc_64,Judgement,"Code, cognisance which is taken under Section 190 of the Code, issue of process and summoning of the accused under Section 204 of the Code, and thereupon issue of notice under Section 251 of the Code, or the charge in terms of Chapter XVII of the Code. The details set out in the chargesheet have a substantial impact on the efficacy of procedure at the subsequent stages. The chargesheet is integral to the process of taking cognisance, the issue of notice and framing of charge, being the only inve"
doc_64,Judgement,"stigative document and evidence available to the court till that stage. Substantiated reasons and grounds for an offence being made in the chargesheet are a key resource for a Magistrate to evaluate whether there are sufficient grounds for taking cognisance, initiating proceedings, and then issuing notice, framing charges etc. 21. These provisions, however, have to be read along with the power of the police to investigate under sub-section (8) to Section 173 of the Code even when they have submi"
